id,set_id,alt_id,is_chosen,Sex,Age,Marry,Edu,HSize,Income,Underman,KGfood,Trustgf,Buygf,Ktrace,Trusttr,CBreed,CProcess,CTransport,CUnpurchased,AHealth,Fgrade,Breed,Process,Transport,BPT,Home,International,Government,Price,chid
1,1,1,0,1,1,0,4,1,3,1,3,5,0,2,5,0,0,0,1,3,1,0,0,0,0,0,1,0,14.9,1
1,1,2,0,1,1,0,4,1,3,1,3,5,0,2,5,0,0,0,1,3,0,0,0,1,0,0,0,0,30.7,1
1,1,3,1,1,1,0,4,1,3,1,3,5,0,2,5,0,0,0,1,3,1,1,0,0,0,1,0,0,16.7,1
1,2,1,1,1,1,0,4,1,3,1,3,5,0,2,5,0,0,0,1,3,1,1,0,0,0,0,1,0,14,2
1,2,2,0,1,1,0,4,1,3,1,3,5,0,2,5,0,0,0,1,3,0,0,0,1,0,1,0,0,14.9,2
1,2,3,0,1,1,0,4,1,3,1,3,5,0,2,5,0,0,0,1,3,1,0,1,0,0,0,0,0,16.7,2
1,3,1,0,1,1,0,4,1,3,1,3,5,0,2,5,0,0,0,1,3,0,0,0,1,0,0,0,0,14,3
1,3,2,0,1,1,0,4,1,3,1,3,5,0,2,5,0,0,0,1,3,1,0,0,0,0,1,0,0,30.7,3
1,3,3,1,1,1,0,4,1,3,1,3,5,0,2,5,0,0,0,1,3,1,0,1,0,0,0,1,0,28,3
1,4,1,1,1,1,0,4,1,3,1,3,5,0,2,5,0,0,0,1,3,1,0,1,0,0,0,1,1,14.9,4
1,4,2,0,1,1,0,4,1,3,1,3,5,0,2,5,0,0,0,1,3,0,0,0,0,0,1,0,0,14,4
1,4,3,0,1,1,0,4,1,3,1,3,5,0,2,5,0,0,0,1,3,1,0,0,1,0,0,0,0,16.7,4
1,5,1,1,1,1,0,4,1,3,1,3,5,0,2,5,0,0,0,1,3,0,0,1,0,0,1,0,0,14.9,5
1,5,2,0,1,1,0,4,1,3,1,3,5,0,2,5,0,0,0,1,3,1,1,0,0,0,0,1,0,28.9,5
1,5,3,0,1,1,0,4,1,3,1,3,5,0,2,5,0,0,0,1,3,1,0,0,0,1,0,0,1,16.7,5
